Category;Project;Repository URL;Description;Homepage;License;Languages;Tags/Topics;Last Update;Latest Release;First Release;
Other;HIM;https://github.com/FZJ-IEK3-VSA/HIM;Hydrogen Infrastructure model for the analysis of spatially resolved hydrogen infrastructure pathways.;;MIT License;Jupyter Notebook;;2020-06-18;;;
Other;HPWHsim;https://github.com/EcotopeResearch/HPWHsim;An open source simulation model for Heat Pump Water Heaters (HPWH).;;BSD 3-Clause "New" or "Revised" License;C++;;2023-04-12;2023-04-12;2019-08-22;
Other;HPXML to Home Energy Score Translator;https://github.com/NREL/hescore-hpxml;This translator script takes an HPXML file or directory of files as an input and generates HEScore inputs from it.;;BSD 2-Clause "Simplified" License;Python;;2023-03-17;2022-09-23;2015-01-05;
Other;HiSim;https://github.com/FZJ-IEK3-VSA/HiSim;Simulation and analysis of household scenarios using modern components as alternative to fossil fuel based ones.;;MIT License;Python;;2023-05-03;;;
Other;Hotmaps;https://github.com/HotMaps/Hotmaps-toolbox-service;The open source mapping and planning tool for heating and cooling.;;Apache License 2.0;Python;;2020-10-20;2018-06-30;2018-02-08;
Other;Hyphae;https://github.com/hyphae/APIS;By providing an Autonomous Power Interchange System (APIS), Hyphae automatically and efficiently distributes locally-produced renewable energy over a DC grid;https://www.lfenergy.org/projects/hyphae/;Apache License 2.0;Makefile, Shell;;2021-02-19;;;
Other;IDEAS;https://github.com/open-ideas/IDEAS;A Modelica library allowing simultaneous transient simulation of thermal and electrical systems at both building and feeder level.;;BSD 3-Clause "New" or "Revised" License;Modelica, Motoko;;2023-04-04;2022-05-03;2015-10-28;
Other;IEA-15-240-RWT;https://github.com/IEAWindTask37/IEA-15-240-RWT;A 15 MW reference wind turbine repository developed in conjunction with IEA Wind.;;Apache License 2.0;Roff;;2023-04-03;2023-04-03;2020-11-24;
Other;IEC61850bean;https://github.com/beanit/iec61850bean;Java IEC 61850 MMS stack for clients and servers;;Apache License 2.0;Java;;2021-05-04;2020-06-30;2017-08-27;
Other;ISEAFramework;https://git.rwth-aachen.de/isea/framework;Allows coupled electrical-thermal simulations of single storage systems (e.g. lithium ion batteries or double layer capacitors) or complete storage system packs.;;BSD 3-Clause "New" or "Revised" License;C++;;2023-01-24;;;
Other;Industry Energy Tool;https://github.com/NREL/Industry-Energy-Tool;A calculator developed by NREL for projecting energy efficiency and fuel switching scenarios for the U.S. industrial sector energy use and emissions at the Census Region and county-level.;;BSD 3-Clause Modified License;Python;;2021-10-01;;;
Other;InfrastructureSystems.jl;https://github.com/NREL-SIIP/InfrastructureSystems.jl;Provides utilities to support data models for infrastructure modeling in NREL-SIIP.;;BSD 3-Clause "New" or "Revised" License;Julia;julia, nrel;2023-05-01;2023-03-10;2021-07-19;
Other;IonMonger;https://github.com/PerovskiteSCModelling/IonMonger;A free and fast perovskite solar cell simulator with coupled ion vacancy and charge carrier dynamics in one dimension.;;GNU Affero General Public License v3.0;MATLAB;perovskite-solar-cells, halide-ion-migration;2022-12-07;2022-08-02;2019-12-05;
Other;Joulia.jl;https://github.com/JuliaEnergy/Joulia.jl;A Large-Scale Spatial Power System Model for Julia.;;MIT License;Julia;;2019-03-28;2019-03-28;2019-03-28;
Other;LIONSIMBA;https://github.com/lionsimbatoolbox/LIONSIMBA;A Matlab framework based on a finite volume model suitable for Li-ion battery design, simulation, and control.;;MIT License;MATLAB;;2021-05-14;2020-01-19;2020-01-19;
Other;LandBOSSE;https://github.com/WISDEM/LandBOSSE;The Land-based Balance-of-System Systems Engineering model is a systems engineering tool that estimates the balance-of-system costs associated with installing utility scale wind plants (10, 1.5 MW turbines or larger).;;Apache License 2.0;Python;;2022-02-07;2022-02-07;2019-08-09;
Other;LibreSolar;https://github.com/LibreSolar/bms-firmware;Firmware for LibreSolar BMS boards based on bq769x0 or ISL94202.;;Apache License 2.0;C, C++;;2023-04-15;2023-01-06;2021-05-20;
Other;LoadProfileGenerator;https://github.com/FZJ-IEK3-VSA/LoadProfileGenerator;A program for generating load curves for residential consumers. Agent-based and extremely detailed.;;MIT License;C#;;2022-12-14;2022-12-12;2022-02-15;
Other;MESSAGEix;https://github.com/iiasa/message_ix;A versatile, dynamic systems-optimization modeling framework developed by the IIASA Energy, Climate, and Environment (ECE) Program since the 1980s.;;Apache License 2.0;Jupyter Notebook, Python;energy-system, strategic-planning, integrated-assessment, integrated-assessment-model, gams, open-source;2023-05-04;2022-08-18;2018-05-19;
Other;MHKiT-Python;https://github.com/MHKiT-Software/MHKiT-Python;Provides the marine renewable energy community tools for data processing, visualization, quality control, resource assessment, and device performance.;;BSD 3-Clause "New" or "Revised" License;Python;mhkit-python, mhkit, marine-renewable-energy, quality-control, visualization, python;2023-02-10;2023-02-10;2020-01-17;
Other;MPCPy;https://github.com/lbl-srg/MPCPy;The Python-based open source platform for model predictive control in buildings.;;BSD 3-Clause License;Python, Modelica;;2023-03-07;2017-08-07;2017-08-07;
Other;MPPT-Solar-Charger;https://github.com/danjulio/MPPT-Solar-Charger;Supporting documentation and software for the MPPT Solar Charger.;;GNU Lesser General Public License v3.0;C;;2023-02-17;;;
Other;MVS;https://github.com/rl-institut/multi-vector-simulator;The multi-vector simulator allows the evaluation of local sector-coupled energy systems that include the energy carriers electricity, heat and/or gas.;;GNU General Public License v2.0;Python;oemof;2023-02-03;2021-05-31;2019-10-14;
Other;Machine-Learning-for-Solar-Energy-Prediction;https://github.com/ColasGael/Machine-Learning-for-Solar-Energy-Prediction;Predict the power production of a solar panel farm from weather measurements using machine learning.;;MIT License;Python, MATLAB;machine-learning, neural-network, data-processing, python, matlab, tensorflow;2019-11-07;;;
Other;ModBus Measurement Daemon;https://github.com/volkszaehler/mbmd;A daemon for collecting measurement data from smart meters and grid inverters over modbus.;;BSD 3-Clause "New" or "Revised" License;Go;modbus, smart-meter, openhab, golang, volkszaehler, modbus-meters, grid-inverters, sunspec;2023-03-12;2020-08-09;2020-04-02;
Other;Modelica Buildings library;https://github.com/lbl-srg/modelica-buildings;A free and open source library with dynamic simulation models for building energy and control systems.;;BSD 3-Clause "New" or "Revised" License;Modelica, Motoko;modelica, buildings, control, energy-efficiency;2023-05-06;2022-12-06;2013-05-16;
Other;Multiscale Solar Water Heating;https://github.com/LBNL-ETA/MSWH;Solar water heating system modeling and simulation for individual and community scale projects.;;BSD 3-Clause License;Jupyter Notebook;;2022-05-12;2020-12-04;2019-05-24;
Other;NRWAL;https://github.com/NREL/NRWAL;A library of offshore wind cost equations;;BSD 3-Clause License;Python;;2023-02-13;2022-11-17;2021-04-14;
Other;NYCBuildingEnergyUse;https://github.com/mdh266/NYCBuildingEnergyUse;Predict the emission of greenhouse gases from buildings by looking at their age, and water consumption as well as other energy consumption metrics.;;MIT License;Jupyter Notebook;energy-efficiency, exploratory-data-analysis, regression-models, regression, bokeh, data-science, outlier-detection, outlier-removal, missing-values, missing-data, scikit-learn, google-app-engine, xgboost;2021-07-29;;;
Other;NYISOToolkit;https://github.com/m4rz910/NYISOToolkit;A collection of modules for accessing power system data, generating statistics, and creating visualizations from the New York Independent System Operator.;;MIT License;Python, Jupyter Notebook;electricity, nyiso, energy, analysis, data, datasets, datascience, decarbonization, visualization, clcpa, newyork, clean-energy, renewable-energy, kaggle, kaggle-competition, kaggle-dataset, machine-learning, ml;2022-06-24;2020-10-25;2020-07-19;
Other;OMEGAlpes;https://gricad-gitlab.univ-grenoble-alpes.fr/omegalpes/omegalpes;Aims to be an energy systems modeling tool for linear optimization (LP, MILP).;;Apache License 2.0;Python;;2023-01-23;2023-01-20;2019-02-04;
Other;OPEM;https://github.com/ECSIM/opem;A modeling tool for evaluating the performance of proton exchange membrane fuel cells.;;MIT License;Python;chemistry, pem, fuel-cell, opem, script, python, electrochemistry, dynamic-analysis, simulation, static-analysis, static-analyzer, simulator, physics, physics-simulation;2021-08-18;2021-06-30;2017-12-25;
Other;OPEN;https://github.com/EPGOxford/OPEN;The framework combines distributed energy resource modelling (e.g. for PV generation sources, battery energy storage systems, electric vehicles), energy market modelling, power flow simulation and multi-period optimisation for scheduling flexible energy resources.;;Apache License 2.0;Python;;2020-07-16;;;
Other;ORBIT;https://github.com/WISDEM/ORBIT;Offshore Renewable Balance-of-system Installation Tool computes capital costs and activity times for offshore wind plant balance-of-system (everything besides the turbine) costs.;;Apache License 2.0;Python;;2023-04-21;2023-03-01;2020-01-29;
Other;Open Energy Platform;https://github.com/OpenEnergyPlatform/oeplatform;Aims to ensure quality, transparency and reproducibility in energy system research. It is a collection of various tools and information and that help working with energy-related data.;;GNU Affero General Public License v3.0;Python, HTML, JavaScript;oep, django, rest-api, energy, database, open-energy-family, open-data;2023-05-03;2023-03-23;2016-06-03;
Other;Open Modeling Framework;https://github.com/dpinney/omf;A set of Python libraries for simulating power systems behavior with an emphasis on cost-benefit analysis of emerging technologies.;;GNU General Public License v2.0;Python, JavaScript, HTML;;2023-05-05;;;
Other;OpenEEmeter;https://github.com/openeemeter/eemeter;Python package for implementing and developing standard methods for calculating normalized metered energy consumption and avoided energy use.;http://eemeter.openee.io/;Apache License 2.0;Python;energy, efficiency, energy-data, energy-efficiency, building-energy;2023-03-16;2022-09-16;2017-06-30;
Other;OpenEMS;https://github.com/OpenEMS/openems;OpenEMS - the Open Source Energy Management System - is a modular platform for energy management applications.;https://openems.io/;Eclipse Public License 2.0 / GNU Affero General Public License v3.0;Java, HTML;climatechange, energy-management, photovoltaics, energy-storage, electric-vehicle-charging-station, heatpump;2023-05-04;2023-05-01;2017-06-21;
Other;OpenGeoSys 6;https://gitlab.opengeosys.org/ogs/ogs;A scientific open source project for the development of numerical methods for the simulation of thermo-hydro-mechanical-chemical processes in porous and fractured media.;;GNU General Public License v3.0;C++;;2023-05-08;2023-03-10;2016-07-04;
Other;OpenIPSL;https://github.com/OpenIPSL/OpenIPSL;A library of power system component models written in the Modelica language that can be used for power system dynamic analysis, such as phasor time-domain simulations.;;BSD 3-Clause "New" or "Revised" License;Modelica;hacktoberfest, modelica, power-grid, power-grids, power-system-simulation, power-systems, power-systems-analysis, gridcal, power-system-dynamic-modeling, power-system-dynamics, power-system-stability, power-system-stabilizer, smart-grids, energy, energy-system, energy-system-modeling;2023-04-25;2022-06-23;2015-11-07;
Other;OpenMDAO;https://github.com/OpenMDAO/OpenMDAO;Optimization of Aerodynamic systems.;;Apache License 2.0;Python, Jupyter Notebook;nasa, open-source, framework, openmdao, optimization;2023-05-03;2023-04-14;2020-07-21;
Other;OpenModelica;https://github.com/OpenModelica/OpenModelica;An open source Modelica-based modeling and simulation environment intended for industrial and academic usage.;;GNU General Public License v3.0 / OSMC Public License v1.2;Modelica, C, C++;;2023-05-08;2023-04-17;2020-09-28;
Other;OpenNEM;https://github.com/opennem/opennem-fe;Aims to make the wealth of public National Electricity Market data more accessible to a wider audience.;;MIT License;Vue, JavaScript;national-electricity-market, vue, bulma-css, d3, nuxtjs, nuxt, vuejs, d3js, australia;2023-05-03;2023-05-03;2022-05-05;
Other;OpenOA;https://github.com/NREL/OpenOA;This library provides a framework for working with large time series data from wind plants, such as SCADA.;;BSD 3-Clause "New" or "Revised" License;Python;;2022-04-14;2023-01-19;2018-12-07;
Other;OpenStudio-ERI;https://github.com/NREL/OpenStudio-ERI;Calculates an Energy Rating Index (ERI) via an OpenStudio/EnergyPlus-based workflow. Building information is provided through an HPXML file.;;BSD 3-Clause License;Ruby;;2023-04-29;2023-01-19;2019-06-12;
Other;OpenStudio-HPXML;https://github.com/NREL/OpenStudio-HPXML;Modeling of residential buildings in EnergyPlus using OpenStudio/HPXML.;;BSD 3-Clause License;Ruby;;2023-05-03;2022-12-06;2019-12-23;
Other;OpenStudio;https://github.com/NREL/OpenStudio;A cross-platform collection of software tools to support whole building energy modeling using EnergyPlus and advanced daylight analysis using Radiance.;;BSD 3-Clause Modified License;C++;;2023-04-28;2023-04-28;2020-04-24;
Other;PLANHEAT Tool;https://github.com/Planheat/Planheat-Tool;A QGIS plug-in based on an open source code, whose goal is to analyze, plan and simulate low carbon Heating & Cooling scenarios.;;MIT License;Python;;2020-04-30;;;
Other;POMATO;https://github.com/richard-weinhold/pomato;An easy to use tool for the comprehensive analysis of the modern electricity market.;;GNU Lesser General Public License v3.0;Python;;2021-06-25;2021-06-15;2020-12-03;
Other;PSP-UFU;https://github.com/Thales1330/PSP;Open-Source Software with advanced GUI features and CAD tools for electrical power system studies.;;GNU General Public License v2.0;C++, C;psp-ufu, power-system-simulation, power-flow, short-circuit, stability, harmonics, educational-software, research, industry-aplication, graphical-user-interface, computer-aided-design, synchronous-machine, user-defined-control, induction-motors, free-and-open-source-software, open-source-project, free-libre-open-source-software;2022-03-24;2020-08-01;2019-10-13;
Other;PV Free;https://github.com/BreakingBytes/pvfree;A public API for PV modeling parameters.;;BSD 2-Clause "Simplified" License;Python, HTML;api, python, solar-energy;2023-04-08;;;
Other;PV generator;https://git.rwth-aachen.de/acs/public/simulation/pvgenerator;Matlab tool to generate realist power profiles of PV panels in presence of different wheater conditions, latitude and time of the day;https://fein-aachen.org/projects/PVgenerator/;GNU General Public License v3.0;Matlab;;2019-04-08;;;
Other;PV4GER;https://github.com/kdmayer/PV4GER;Aims at democratizing and accelerating the access to photovoltaic systems data in Germany and beyond.;;MIT License;Python;neurips-2020, solar, renewable-energy, pv-systems, deepsolar, computer-vision, inception-v3, deeplabv3, network-planning, solar-panels, climate-change, ai, deep-learning, remote-sensing, satellite-imagery;2022-07-22;;;
Other;PVMismatch;https://github.com/SunPower/PVMismatch;An explicit Python PV system IV & PV curve trace calculator which can also calculate mismatch.;;BSD 3-Clause "New" or "Revised" License;Jupyter Notebook, Python;numpy, scipy, python, solar, photovoltaic;2022-04-14;2019-05-11;2012-07-17;
Other;PV_ICE;https://github.com/NREL/PV_ICE;An open-source tool to quantify Solar Photovoltaics (PV) Energy and Mass Flows in the Circular Economy, from a Reliability and Lifetime approach.;;BSD 3-Clause License;Python;circular-economy, circularity-metrics, reliability, solar-energy, circularity, mass-flow, repair, reuse, recycle, photovoltaics, lifetime;2023-02-18;2023-02-18;2020-12-16;
Other;Photovoltaic_Fault_Detector;https://github.com/RentadroneCL/Photovoltaic_Fault_Detector;Model-definition is a deep learning application for fault detection in photovoltaic plants.;;GNU General Public License v3.0;Jupyter Notebook, HTML;yolo3, detector-model, model-detection, detection-boxes, fault-detection, solar-energy, photovoltaic-panels, deep-learning, keras, object-detection, tensorflow;2023-01-17;;;
Other;Pintura;https://github.com/sogno-platform/pintura;Standalone graphical power system topology editor and library to be used in web applications;;Mozilla Public License 2.0;JavaScript;;2023-01-25;2023-01-13;2023-01-13;
Other;PowNet;https://github.com/kamal0013/PowNet;A least-cost optimization model for simulating the Unit Commitment and Economic Dispatch of large-scale (regional to country) power systems.;;MIT License;Jupyter Notebook, Python;power-system-analysis, unit-commitment, economic-dispatch, transmission, dc-flow, n-1-criterion, water-energy-nexus, python, dispatchable-units, renewable-resources, electricity-supply, substations;2021-04-14;2021-04-14;2019-09-27;
Other;PowSyBl Open Load Flow;https://github.com/powsybl/powsybl-open-loadflow;An open source implementation of the load flow API that can be found in PowSyBl Core. It supports AC Newtow-Raphson and linear DC calculation methods.;;Mozilla Public License 2.0;Java;powsybl, klu, power-systems, power-system-simulation, energy-system, java, load-flow, power-flow, loadflow, powerflow;2023-05-08;2023-04-17;2021-02-11;
Other;PowSyBl;https://github.com/powsybl/powsybl-core;Framework to build power system oriented software;https://www.powsybl.org/;Mozilla Public License 2.0;Java;powsybl, power-systems, power-system-simulation, energy-system, modular, extensible, cim, java, groovy;2023-05-04;2023-04-14;2021-11-10;
Other;Power Station Dictionary;https://github.com/OSUKED/Power-Station-Dictionary;A power station dictionary that enables mapping between various naming conventions and associated plant metadata.;;MIT License;Jupyter Notebook;energy-data, power-stations;2023-02-12;2020-12-24;2020-12-18;
Other;Power System Analysis Toolbox;http://faraday1.ucd.ie/psat.html;A Matlab toolbox for electric power system analysis and simulation.;;GNU General Public License v3.0;;;;;;
Other;PowerDynamics.jl;https://github.com/JuliaEnergy/PowerDynamics.jl;Provides all the tools you need to create a dynamic power grid model and analyze it.;;GNU General Public License v3.0;Julia;;2022-11-02;2022-11-02;2018-10-15;
Other;PowerGAMA;https://bitbucket.org/harald_g_svendsen/powergama/src;Python package for hour-by-hour optimal power flow analysis of interconnected power systems with variable energy sources and storage systems;;MIT License;Python;;;;;
Other;PowerGenome;https://github.com/PowerGenome/PowerGenome;A tool to quickly and easily create inputs for power systems models.;;MIT License;Python, Jupyter Notebook;python, capacity-expansion-planning, power-systems;2023-03-01;2022-08-11;2020-09-03;
Other;PowerMatcher;https://github.com/flexiblepower/powermatcher;Smart grid coordination mechanism;https://flexiblepower.github.io/technology/powermatcher/;Apache License 2.0;JavaScript, Java;;2017-05-31;2017-05-31;2013-10-23;
Other;PowerModelsAnnex.jl;https://github.com/lanl-ansi/PowerModelsAnnex.jl;An extension of PowerModels.jl that provides a home for open source sharing of preliminary and/or exploratory methods in power system optimization.;;BSD 3-Clause License;Julia;optimization, network, power-network, optimal-power-flow;2023-05-05;2023-05-05;2018-12-09;
Other;PowerSystemDataModel;https://github.com/ie3-institute/PowerSystemDataModel;Provides an extensive data model capable of modeling energy systems with high granularity e.g. for bottom-up simulations.;;BSD 3-Clause "New" or "Revised" License;Java, Groovy;simulation, datamodel, powersystem;2023-05-08;2023-02-16;2020-04-17;
Other;PowerSystems.jl;https://github.com/NREL-SIIP/PowerSystems.jl;Data model using Julia structures to enable power systems analysis and modeling;https://www.nrel.gov/analysis/siip.html;BSD 3-Clause "New" or "Revised" License;Julia;julia, powersystems, energy-system, electrical, nrel;2023-05-01;2023-05-03;2022-02-18;
Other;PowerTAC;https://github.com/powertac/powertac-server;Power TAC is a competitive simulation designed to support the study of retail electric power markets, especially as they relate to managing distributed renewable power sources;https://powertac.org/;Apache License 2.0;Java;;2022-09-23;2016-06-25;2012-04-28;
Other;PyPSA meets Africa;https://github.com/pypsa-meets-africa/pypsa-africa;A free and open source software project aiming to develop a powerful energy system model for Africa.;;;Python;pypsa-africa, pypsa-earth, energy-system-model, python, investment-optimization, operational-optimization, power-system-model, scenario-analysis, energy-system-planning, power-system-planning;2023-05-07;2023-05-07;2021-12-24;
Other;PyPSA-Eur-Sec;https://github.com/PyPSA/pypsa-eur-sec;A Sector-Coupled Open Optimisation Model of the European Energy System.;;MIT License;Python;pypsa, energy, energy-system, energy-model, energy-system-model;2023-03-18;2023-02-16;2020-07-08;
Other;PyWake;https://gitlab.windenergy.dtu.dk/TOPFARM/PyWake;An AEP calculator for wind farms implemented in Python including a collection of wake models.;;MIT License;Python;;2023-04-27;2023-02-15;2022-10-04;
Other;Pysolar;https://github.com/pingswept/pysolar;A collection of Python libraries for simulating the irradiation of any point on earth by the sun. It includes code for extremely precise ephemeris calculations.;;GNU General Public License v3.0;Jupyter Notebook, Python;;2023-04-23;2021-09-20;2008-03-08;
Other;QBlade;https://qblade.org/downloads/;QBlade is a highly advanced multi-physics code that covers the complete range of aspects required for the aero-servo-hydro-elastic design, prototyping, simulation, and certification of wind turbines;;Academic Public License;;;;;;
Other;RAMP-mobility;https://github.com/RAMP-project/RAMP-mobility;A novel application of the RAMP main engine for generating bottom-up stochastic electric vehicles load profiles.;;European Union Public License 1.2;Python;electric-vehicles-mobility, charging-profiles, ramp-model, charging-strategies, demand;2022-10-05;2021-05-20;2020-07-21;
Other;RAMP;https://github.com/RAMP-project/RAMP;A bottom-up stochastic model for the generation of high-resolution multi-energy profiles, conceived for application in contexts where only rough information about users' behaviour are obtainable.;;European Union Public License 1.2;Python;;2023-02-23;2023-02-17;2019-04-19;
Other;RC_BuildingSimulator;https://github.com/architecture-building-systems/RC_BuildingSimulator;A Resistance Capacitance Model for an Energetic Simulation of a Building.;;MIT License;Python;;2021-03-07;2020-08-09;2017-12-12;
Other;RESKit;https://github.com/FZJ-IEK3-VSA/RESKit;A toolkit to help generate renewable energy generation time series for energy systems analysis.;;MIT License;Python;;2021-08-12;2021-08-12;2020-08-20;
Other;REVUB;https://github.com/VUB-HYDR/REVUB;The main objective is to model how flexible operation of hydropower plants can help renewable electricity mixes with variable solar and wind power to provide reliable electricity supply and load-following services.;;MIT License;Python, MATLAB;standalone-software, renewable, electricity, solar, wind, hydro, balancing, flexibility;2021-04-24;;;
Other;RISE-V2G;https://github.com/V2GClarity/RISE-V2G;The only fully-featured reference implementation of the Vehicle-2-Grid communication interface ISO 15118.;;MIT License;Java;;2022-06-02;2020-07-23;2016-04-14;
Other;ROSCO;https://github.com/NREL/ROSCO;NREL's Reference OpenSource Controller for wind turbine applications.;;Apache License 2.0;Python, Fortran, Roff;;2023-04-11;2023-04-11;2020-01-21;
Other;SEED;https://github.com/SEED-platform/seed;Standard Energy Efficiency Data Platform™ is a web-based application that helps organizations easily manage data on the energy performance of large groups of buildings.;;BSD 3-Clause Modified License;Python, JavaScript;energy, commercial, buildings;2023-05-08;2023-05-08;2020-11-25;
Other;SHARPy;https://github.com/ImperialCollegeLondon/sharpy;Simulation of High Aspect Ratio aeroplanes and wind turbines in Python.;;BSD 3-Clause "New" or "Revised" License;Python;aeroelasticity, simulation, aeronautics, structures, structural-dynamics, wind-turbines;2023-05-01;2022-07-04;2018-09-03;
Other;SIEGate;https://github.com/GridProtectionAlliance/SIEGate;Secure Information Exchange Gateway;;MIT License;C#, TSQL;;2023-04-30;2022-03-30;2016-09-22;
Other;SIREN;https://github.com/ozsolarwind/siren;SEN's Interactive Renewable Energy Network tool;;GNU Affero General Public License v3.0;Python;;2023-02-28;;;
Other;SLIDE;https://github.com/davidhowey/SLIDE;SLIDE is a C++ code that simulates degradation of lithium ion cell.;;BSD 3-Clause License;C++;;2023-04-08;2019-05-15;2019-05-06;
Other;STM32 Energy Monitoring;https://github.com/openenergymonitor/STM32;The following resources are a work in progress guide to using the STM32 platform for energy monitoring, being written as part of development work into the next generation of OpenEnergyMonitor hardware.;;Multiple;C++, C;;2021-04-16;;;
Other;SimBench;https://github.com/e2nIEE/simbench;The objective of the research project SimBench is the development of a benchmark dataset to support research in grid planning and operation.;;BSD 3-Clause License;Python;;2021-11-26;2021-11-26;2019-05-15;
Other;SmartGridToolbox;https://gitlab.com/SmartGridToolbox/SmartGridToolbox;Designed to provide an extensible and flexible starting point for developing a wide variety of smart grid simulations and other applications.;;Apache License 2.0;MATLAB;;2023-01-11;2022-09-28;2020-02-07;
Other;SolTrace;https://github.com/NREL/SolTrace;A software tool developed at NREL to model concentrating solar power (CSP) systems and analyze their optical performance.;;BSD 3-Clause Modified License;C++, HTML, TeX;;2023-01-13;2018-03-08;2018-03-08;
Other;Solar Forecast Arbiter;https://github.com/SolarArbiter/solarforecastarbiter-core;Core data gathering, validation, processing, and reporting package for the Solar Forecast Arbiter.;;MIT License;Python;;2023-01-24;2022-02-11;2020-06-02;
Other;Solar electricity Nowcasting;https://github.com/openclimatefix/nowcasting;Build the world's best near-term forecasting system for solar electricity generation.;;MIT License;TypeScript;nowcasting;2023-04-20;;;
Other;SolarData;https://github.com/dazhiyang/SolarData;Download and manipulate some publicly available solar datasets.;;GNU General Public License v2.0;R;solar-energy;2021-04-19;2019-02-20;2019-02-20;
Other;SolarPILOT;https://github.com/NREL/SolarPILOT;Solar power tower layout and optimization tool.;;BSD 3-Clause Modified License;C++, HTML;;2023-02-02;2019-01-03;2018-03-07;
Other;SolarPV-DER-simulation-tool;https://github.com/tdcosim/SolarPV-DER-simulation-tool;Allows user to run dynamics simulations for solar photovoltaic distributed energy resource connected to a stiff voltage source or to an external program. It allows modifying DER parameters, introducing external disturbance events, and visualizing the simulation results. The PV-DER (inverter) is modeled using dynamic phasor concept;;BSD 3-Clause License;Python;;2022-04-28;2022-04-28;2019-12-20;
Other;SolarPV-DER-simulation-utility;https://github.com/tdcosim/SolarPV-DER-simulation-utility;Allows user to run dynamics simulations for solar photovoltaic distributed energy resource connected to a stiff voltage source or to an external program.;;BSD 3-Clause License;Python;;2022-04-28;2022-04-28;2019-12-20;
Other;SolarTherm;https://github.com/SolarTherm/SolarTherm;Solar thermal power/fuel station performance simulation and optimization using Modelica.;;GNU Lesser General Public License v3.0;Modelica, Python;engineering, energy, solar, thermodynamics, optimisation, simulation, modelica, modelica-library;2023-04-25;;;
Other;Spine-Toolbox;https://github.com/Spine-project/Spine-Toolbox;An application to define, manage, and execute various energy system simulation models.;;GNU Lesser General Public License v3.0;Python;spine-toolbox, python, energy, anaconda, miniconda, simulation-model, workflow, data;2023-04-27;2021-09-08;2019-01-17;
Other;State Space Model for Distribution Grids (SSMD);https://git.rwth-aachen.de/acs/public/simulation/ssmd;Matlab code to generate the state-space matrices of electrical distribution grids;;GNU General Public License v3.0;Matlab;;2019-06-15;;;
Other;StatisticalClearSky;https://github.com/slacgismo/StatisticalClearSky;Statistical estimation of a clear sky signal from PV system power data.;;BSD 2-Clause "Simplified" License;Jupyter Notebook;;2022-06-23;2022-06-23;2019-07-27;
Other;StorageVET;https://github.com/epri-dev/StorageVET;A valuation model for analysis of energy storage technologies and some other energy resources paired with storage.;;BSD 3-Clause "New" or "Revised" License;Python;;2023-02-02;2023-02-02;2021-09-14;
Other;System Advisor Model;https://github.com/NREL/SAM;A simulation program for electricity generation projects. It has models for different kinds of renewable energy systems and financial models for residential, commercial, and utility-scale projects.;;BSD 3-Clause "New" or "Revised" License;PowerBuilder, C++, HTML;;2023-05-05;2023-02-25;2020-05-28;
Other;The Building Data Genome 2 Data-Set;https://github.com/buds-lab/building-data-genome-project-2;Whole building non-residential hourly energy meter data from the Great Energy Predictor III competition.;;MIT License;Jupyter Notebook;open-source, open-data, open-data-science, energy-efficiency, energy-consumption, building-energy, building-automation, smart-city, smart-meter, electricity-meter, electricity-consumption;2020-10-28;2020-06-04;2020-06-04;
Other;The Distributed Generation Market Demand (dGen) Model;https://github.com/NREL/dgen;The Distributed Generation Market Demand (dGen) model simulates customer adoption of distributed energy resources (DERs) for residential, commercial, and industrial entities in the United States and other countries. ;;BSD 3-Clause License;Python, Jupyter Notebook;;2021-09-10;2021-02-23;2021-02-23;
Other;The Electricity Market Model EMMA;https://github.com/emma-model/EMMA;The Electricity Market Model EMMA is a techno-economic model of the Northwestern European power market, covering 12 European countries.;;MIT License;Jupyter Notebook, GAMS;;2023-01-25;2021-11-05;2021-11-05;
Other;The Hydrogen Risk Assessment Models;https://github.com/sandialabs/hyram;The first-ever software toolkit that integrates deterministic and probabilistic models for quantifying accident scenarios, predicting physical effects, and characterizing hydrogen hazards impact on people and structures.;;GNU General Public License v3.0;Python, C#, Rich Text Format;snl-applications;2022-11-15;2022-11-15;2019-06-28;
Other;The IDAES Toolkit;https://github.com/IDAES/idaes-pse;Aims to provide multi-scale, simulation-based, open source computational tools and models to support the design, analysis, optimization, scale-up, operation and troubleshooting of innovative, advanced energy systems.;;BSD 3-Clause License;Python;process-systems-engineering, process-modeling, chemical-engineering;2023-04-28;2023-03-03;2019-02-02;
Other;The Open Charge Point Protocol;https://github.com/NewMotion/ocpp;A network protocol for communication between electric vehicle chargers and a central backoffice system.;;GNU General Public License v3.0;Scala;ocpp, scala, electric-vehicles, charging-stations, chargingstation, websocket, emobility;2021-10-08;2020-01-21;2015-07-16;
Other;The Public Utility Data Liberation Project;https://github.com/catalyst-cooperative/pudl;Makes the US' energy data easier to access and use.;;MIT License;Python;open-data, ferc, eia, energy, utility, climate, electricity, epa, coal, natural-gas, eia923, eia860, cems, ddj, ghg, emissions, pudl, python, etl, sqlite;2023-04-28;2023-04-06;2019-09-12;
